Index,Business Name,Business Address,Business Address(Line 1),Business Address(Line 2),Business Address Suburb,Business Phone Number,Eat Safe Rating,Permit Name,Business Address Suburb List
1,Otto Ristorante,"C/- Minett & Partners Level 5, 492 Kent Street -",C/- Minett & Partners,"Level 5, 492 Kent Street",Sydney,-,5,Cafe/Restaurant,"S, Sydney"
2,Advanced Fresh Concepts Pty Ltd,19/538 Gardeners Road -,19/538 Gardeners Road,,Alexandria Mc,-,,Takeaway Food,"A, Alexandria Mc"
3,The Brisbane Bread Co P/L,23A Glen Affric St (The Gap Football Club) -,23A Glen Affric St (The Gap Football Club),,The Gap,-,4,Bakery/Patisserie,"T, The Gap"
4,7-Eleven 4061H,"Building 2, 658 Church St 0395508529","Building 2, 658 Church St",,Richmond,0395508529,,Food Shop,"R, Richmond"
5,Bunnings Warehouse Mt Gravatt (8103),Bunnings Cafe Operations (8103 Mt Gravatt) 16-18 Cato Street 03 8632 6243,Bunnings Cafe Operations (8103 Mt Gravatt),16-18 Cato Street,Hawthorn East,03 8632 6243,5,Cafe/Restaurant,"H, Hawthorn East"
6,Aspley Hypermarket (4670),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Bakery/Patisserie,Cafe/Restaurant,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
7,Coles Lutwyche (4450),c/- Licensing and Registrations PO BOX 2000 3357 7311,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,3357 7311,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
8,Coles Supermarkets Chermside (4547),c/- Licensing and Registrations PO BOx 200 -,c/- Licensing and Registrations,PO BOx 200,Glen Iris,-,5,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
9,Coles Bracken Ridge (4524),c/- Licensing and Registrations PO BOX 200 -,c/- Licensing and Registrations,PO BOX 200,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
10,Coles Supermarkets  - Garden City (4570),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Food Shop,Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
